Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Toronto Raptors,24,242.1,37.7,84.8,.444,11.9,34.5,.346,25.8,50.3,.512,19.3,23.3,.830,8.3,34.0,42.3,22.5,8.0,4.6,12.0,22.6,106.6
2,Golden State Warriors,22,242.3,41.1,86.1,.477,12.2,32.7,.372,28.9,53.4,.541,19.8,24.3,.813,10.1,33.2,43.3,28.4,7.4,5.7,14.9,23.2,114.1
3,Portland Trail Blazers,16,247.8,39.4,90.4,.436,11.8,32.8,.360,27.6,57.6,.479,19.0,24.8,.766,11.4,33.8,45.3,19.8,6.8,5.2,12.9,22.8,109.7
4,Milwaukee Bucks,15,243.3,39.8,88.4,.450,12.8,38.1,.336,27.0,50.3,.536,20.4,28.0,.729,10.1,41.8,51.9,25.0,6.7,6.4,12.9,21.8,112.8
5,Denver Nuggets,14,247.1,39.9,90.3,.442,9.6,27.8,.344,30.4,62.5,.486,19.7,25.2,.782,13.1,34.6,47.7,24.0,5.7,4.6,9.7,21.3,109.1
6,Philadelphia 76ers,12,240.0,39.4,85.8,.459,9.4,28.4,.331,30.0,57.4,.522,20.4,25.8,.790,11.4,37.1,48.5,24.4,6.3,5.5,16.4,22.4,108.7
7,Houston Rockets,11,242.3,37.2,83.8,.444,15.6,42.7,.366,21.5,41.1,.524,18.5,24.3,.764,9.6,33.3,42.9,18.3,8.5,5.1,15.8,21.6,108.5
8,Boston Celtics,9,240.0,35.7,84.1,.424,11.3,33.0,.343,24.3,51.1,.476,19.4,24.2,.803,7.4,40.6,48.0,21.4,5.7,3.9,14.8,20.8,102.1
9,San Antonio Spurs,7,240.0,39.4,85.1,.463,6.7,19.9,.338,32.7,65.3,.501,17.7,23.0,.770,10.7,34.4,45.1,21.1,4.6,4.0,8.4,19.4,103.3
10,Los Angeles Clippers,6,240.0,39.8,89.2,.447,11.5,31.7,.363,28.3,57.5,.493,23.5,28.8,.815,10.0,30.2,40.2,25.3,8.0,3.3,15.0,25.0,114.7
11,Brooklyn Nets,5,240.0,38.4,91.4,.420,11.0,34.0,.324,27.4,57.4,.477,23.6,29.2,.808,11.4,29.2,40.6,19.2,7.4,2.8,14.2,22.8,111.4
12,Oklahoma City Thunder,5,240.0,37.8,86.0,.440,10.4,31.4,.331,27.4,54.6,.502,19.2,25.4,.756,10.2,33.0,43.2,22.6,6.6,5.4,15.2,24.2,105.2
13,Utah Jazz,5,240.0,34.6,86.4,.400,9.4,35.8,.263,25.2,50.6,.498,19.2,25.6,.750,11.8,35.4,47.2,23.0,9.2,5.4,15.2,21.8,97.8
14,Orlando Magic,5,240.0,32.2,83.0,.388,10.4,34.8,.299,21.8,48.2,.452,17.2,22.2,.775,9.6,33.8,43.4,19.0,6.6,4.0,15.6,18.8,92.0
15,Detroit Pistons,4,240.0,37.5,96.8,.388,11.0,33.3,.331,26.5,63.5,.417,12.0,16.5,.727,10.8,31.5,42.3,23.0,7.3,4.0,10.5,24.3,98.0
16,Indiana Pacers,4,240.0,33.5,83.5,.401,10.0,29.8,.336,23.5,53.8,.437,14.8,20.5,.720,8.0,32.3,40.3,20.8,8.3,3.5,12.0,20.0,91.8
