,RK,Team,Year,Conf,playoffs_y_n,G,W%,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W_scalnorm,L_scalnorm,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm
0,1,Dallas Mavericks,2020,West,0,67,0.5970149253731343,40,27,241.5,41.6,90.0,0.462,15.3,41.5,0.369,26.3,48.5,0.542,17.9,23.1,0.773,10.6,36.4,24.5,6.3,5.0,12.8,19.0,116.4,0.10008086355273828,-0.044046538685460136,-0.03513659012202384,0.09031593638487419,0.11008499317479978,0.03513659012202378,0.36779448721021335,0.36779448721020863,0.14194347284320008,-0.27594790398438057,-0.36779448721020863,0.2552504126399607,0.026294357934954403,0.008742876481293549,0.008742876481293549,0.11008499317479978,0.2552504126399607,0.03513659012202378,-0.30002425100831087,0.008742876481293491,-0.30002425100831087,-0.22036820777943067,0.30002425100831087
1,2,Milwaukee Bucks,2020,East,1,65,0.8153846153846154,53,12,240.8,43.5,91.2,0.47700000000000004,13.7,38.6,0.35600000000000004,29.8,52.6,0.5670000000000001,17.8,24.0,0.742,9.5,42.2,25.9,7.4,6.0,14.9,19.2,118.6,0.38910468090720957,-0.38910468089988715,-0.08154742234709843,0.38910468090720957,0.11102420153017321,0.12186226331408012,0.08154742234709841,0.09445560869949098,-0.0032353080697655285,0.05252628973115768,-0.044541588156515016,0.38910468090720957,0.0032353080697655285,0.04846494028906046,-0.09445560869949093,-0.07069657510700988,0.38910468090720957,0.05674861051606091,-0.02988428280110743,0.11102420153017321,0.01962854885104485,-0.06579458808124236,0.38910468090720957
2,3,Houston Rockets,2020,West,0,64,0.625,40,24,241.2,41.1,90.7,0.45399999999999996,15.4,44.3,0.348,25.7,46.4,0.5539999999999999,20.5,26.0,0.787,10.4,34.6,21.5,8.5,5.1,14.7,21.6,118.1,0.048444635586817435,-0.05826383259198257,-0.05328718386927373,0.021320944281754142,0.08000179226904679,-0.05826383259198257,0.5089789324411067,0.5089789324411067,-0.07423155930850604,-0.1780327354424735,-0.5089789324315285,0.1452282183760972,0.17803273544247342,0.17803273544247428,0.03909094673806572,0.0084719928857436,0.0,-0.1780327354424735,0.10667031779925615,0.034549778817720055,-0.004232032479352384,0.06870843807410373,0.1780327354424747
3,4,Portland Trail Blazers,2020,West,0,66,0.4393939393939394,29,37,240.8,41.9,90.9,0.461,12.6,33.8,0.37200000000000005,29.3,57.1,0.513,17.3,21.7,0.7979999999999999,10.1,35.4,20.2,6.1,6.2,13.0,21.4,113.6,-0.019747727891447638,0.06065073987287067,-0.16550209797551907,0.11517242148534773,0.14348009002776665,0.0,0.06782955265162983,0.006566121377377421,0.19169951612672495,0.03308006465388128,0.11517242148534773,-0.12412510561041222,-0.026388467916938958,-0.10660313838461724,0.14348009002776665,-0.026388467916938958,0.046672790341141024,-0.7896956049318654,-0.2762229627880173,0.27622296278801717,-0.1916995161267249,0.06065073987287084,0.10660313838461723
4,5,Atlanta Hawks,2020,East,0,67,0.29850746268656714,20,47,243.0,40.6,90.6,0.449,12.0,36.1,0.33299999999999996,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,24.0,7.8,5.1,16.2,23.1,111.8,-0.14400532047225323,0.22354615450844462,0.15514166244080974,-0.010637826947521358,0.08627349950880525,-0.08627349950880527,-0.021356083023149276,0.08627349950880525,-0.6390975389334884,-0.010637826947521358,-0.02677156587427163,0.03223954344246531,0.07315876875390737,0.03777210517051758,0.07315876875390737,-0.04908440460497599,-0.07960280506434277,-0.01598175830805251,0.02135608302314924,0.04338230367928187,0.20015660668171603,0.6390975389455154,-0.005313936137434434
5,6,New Orleans Pelicans,2020,West,0,64,0.4375,28,36,242.3,42.6,92.2,0.462,14.0,37.6,0.37200000000000005,28.6,54.6,0.525,16.9,23.2,0.7290000000000001,11.2,35.8,27.0,7.6,5.1,16.2,21.0,116.2,-0.03774388382593476,0.0313423443480253,0.1091223288514987,0.18162939851112656,0.748212309719848,0.025002262145593344,0.2134892699517602,0.1359429745917469,0.18162939851112656,-0.012454050572527004,-0.018710365113879378,0.03774388382593476,-0.057464711570174846,0.025002262145593344,-0.26171276589442893,0.2617127658944288,0.10100319654117847,0.23432986025593391,-0.018710365113879378,0.05078907625023819,0.23432986025593391,0.031342344348025256,0.1685917201625731
6,7,Los Angeles Clippers,2020,West,0,64,0.6875,44,20,241.2,41.6,89.7,0.46399999999999997,12.2,33.2,0.366,29.5,56.5,0.522,20.8,26.2,0.792,11.0,37.0,23.8,7.1,5.0,14.8,22.0,116.2,0.15471428647122284,-0.1547142864712228,-0.06672553824331091,0.054742969894727586,0.04894918950749757,0.04326279642503339,0.010608522429737643,-0.005299297589842968,0.06066176047999708,0.04894918950749919,0.04894918950749919,0.0,0.6373369871629042,0.6373369871629042,0.08603583787799543,0.16725960450607755,0.18185293978070108,-0.04894918950749919,-0.10017723328516463,0.005299297589842934,0.005299297589842968,0.13357122394010654,0.1436086223030172
7,8,Washington Wizards,2020,East,0,64,0.375,24,40,241.2,41.9,91.0,0.461,12.3,33.1,0.37200000000000005,29.6,57.9,0.511,19.5,24.8,0.787,10.1,31.6,25.3,8.1,4.3,14.1,22.6,115.6,-0.14068030606197107,0.14068030606197107,-0.12866399277931317,0.17923500769523684,0.2769143453840153,0.0,0.051480255136874466,-0.03073204604834461,0.2983289211516485,0.12866399277931315,0.22328830729248592,-0.23979358472002416,0.23979358472002416,0.23979358472002416,0.09438662214129788,-0.04106657817175254,-0.4298670134951528,0.07263368980235287,0.10555852030102551,-0.19316746120584657,-0.14068030606197107,0.4298670134951533,0.22328830729248592
8,9,Memphis Grizzlies,2020,West,0,65,0.49230769230769234,32,33,240.4,42.8,91.0,0.47,10.9,31.1,0.35200000000000004,31.8,59.9,0.531,16.2,21.3,0.7609999999999999,10.4,36.3,27.0,8.0,5.6,15.3,20.8,112.6,0.01941755446889559,-0.01941755446889559,-0.7764922378362724,0.22155845183042233,0.17496392450584386,0.10482078026986509,-0.12204978782351011,-0.14108116531840503,-0.06669547202867057,0.24318674689212816,0.18849438358241116,0.12204978782351011,-0.1312988237986896,-0.14108116531840503,-0.04589244158346635,0.01292477211847861,0.15150976232653426,0.24318674689212816,0.04589244158346635,0.13129882379868957,0.12204978782351011,0.01941755446889559,0.0259472642090524
9,10,Phoenix Suns,2020,West,0,65,0.4,26,39,241.2,40.8,87.8,0.46399999999999997,11.2,31.7,0.353,29.6,56.1,0.527,19.8,24.0,0.826,9.8,33.3,27.2,7.8,4.0,15.1,22.1,112.6,-0.06162203365043971,0.06162203365043973,-0.06778180076605,0.010776454902958154,-0.09442324398200475,0.04394764471094789,-0.06162203365043971,-0.06162203365043971,-0.03826433631303977,0.06778180076604999,0.027120442337415847,0.049724053161752414,0.16990731715792182,0.08064015735137856,0.6474260054251602,-0.06778180076604999,-0.10176303476292818,0.6474260054251602,0.021634387054625056,-0.20276496845412809,0.06778180076604999,0.15716340725517178,0.021634387054625056
