,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
0,1,Dallas Mavericks,2020,West,0,67,40,27,241.5,41.6,90.0,0.462,15.3,41.5,0.369,26.3,48.5,0.542,17.9,23.1,0.773,10.6,36.4,24.5,6.3,5.0,12.8,19.0,116.4,0.5970149253731343,-0.035313890334814205,0.09077167311640642,0.11064048511773263,0.03531389033481414,0.3696503884407833,0.36965038844077847,0.14265972356223408,-0.2773403447968093,-0.36965038844077847,0.25653841333435723,0.026427039997751707,0.008786993279626851,0.008786993279626851,0.11064048511773263,0.25653841333435723,0.03531389033481414,-0.3015381817386779,0.008786993279626794,-0.3015381817386779,-0.22148019189615448,0.3015381817386779,0.044268798746965515
1,2,Milwaukee Bucks,2020,East,1,65,53,12,240.8,43.5,91.2,0.47700000000000004,13.7,38.6,0.35600000000000004,29.8,52.6,0.5670000000000001,17.8,24.0,0.742,9.5,42.2,25.9,7.4,6.0,14.9,19.2,118.6,0.8153846153846154,-0.08852365802172277,0.4223918882520875,0.12052212277855755,0.13228736130312035,0.08852365802172275,0.10253611655752007,-0.00351208287055114,0.05701981957834843,-0.048352041109636,0.4223918882520875,0.00351208287055114,0.05261102897809323,-0.10253611655752003,-0.07674454026814083,0.4223918882520875,0.061603352330982214,-0.03244082957827318,0.12052212277855755,0.0213077359889647,-0.07142319704715051,0.4223918882520875,0.4223918882520875
2,3,Houston Rockets,2020,West,0,64,40,24,241.2,41.1,90.7,0.45399999999999996,15.4,44.3,0.348,25.7,46.4,0.5539999999999999,20.5,26.0,0.787,10.4,34.6,21.5,8.5,5.1,14.7,21.6,118.1,0.625,-0.053364673148905625,0.021351948821560898,0.08011812945938128,-0.05834855882610337,0.5097190805960445,0.5097190805960445,-0.07433950552819893,-0.1782916274952826,-0.5097190805864523,0.14543940668080843,0.17829162749528252,0.17829162749528338,0.039147792100926185,0.008484312707848917,0.0,-0.1782916274952826,0.10682543588739996,0.034600020494566675,-0.004238186626079453,0.06880835266865346,0.1782916274952838,0.05336467314890562
3,4,Portland Trail Blazers,2020,West,0,66,29,37,240.8,41.9,90.9,0.461,12.6,33.8,0.37200000000000005,29.3,57.1,0.513,17.3,21.7,0.7979999999999999,10.1,35.4,20.2,6.1,6.2,13.0,21.4,113.6,0.4393939393939394,-0.16580734111176923,0.11538483928290891,0.14374471696123314,0.0,0.06795465381732557,0.00657823157722834,0.1920530763669632,0.03314107573957641,0.11538483928290891,-0.12435403525533738,-0.026437137382802737,-0.10679975145896899,0.14374471696123314,-0.026437137382802737,0.04675887111640337,-0.7911520768804448,-0.27673241351098155,0.2767324135109814,-0.19205307636696314,0.060762600823766014,0.10679975145896896,-0.019784149534853582
4,5,Atlanta Hawks,2020,East,0,67,20,47,243.0,40.6,90.6,0.449,12.0,36.1,0.33299999999999996,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,24.0,7.8,5.1,16.2,23.1,111.8,0.29850746268656714,0.15889137189445718,-0.010894938800287569,0.08835869410848823,-0.08835869410848825,-0.021872250667255413,0.08835869410848823,-0.6545442606318331,-0.010894938800287569,-0.027418623486445935,0.033018759798185436,0.07492698576601008,0.038685041242065045,0.07492698576601008,-0.050270754248767875,-0.08152677175382246,-0.01636803075911946,0.02187225066725538,0.04443083591535528,0.20499430861475268,0.6545442606441507,-0.00544237176366874,-0.15889137189445712
5,6,New Orleans Pelicans,2020,West,0,64,28,36,242.3,42.6,92.2,0.462,14.0,37.6,0.37200000000000005,28.6,54.6,0.525,16.9,23.2,0.7290000000000001,11.2,35.8,27.0,7.6,5.1,16.2,21.0,116.2,0.4375,0.10917596612571875,0.1817186754350788,0.7485800810939898,0.025014551593637017,0.21359420706807697,0.13600979511036312,0.1817186754350788,-0.012460172154908354,-0.018719561884099855,0.03776243620717707,-0.05749295739781532,0.025014551593637017,-0.26184140647183335,0.26184140647183324,0.10105284299032413,0.2344450412193974,-0.018719561884099855,0.050814040779852694,0.2344450412193974,0.03135775015851509,0.16867458863157267,-0.03776243620717707
6,7,Los Angeles Clippers,2020,West,0,64,44,20,241.2,41.6,89.7,0.46399999999999997,12.2,33.2,0.366,29.5,56.5,0.522,20.8,26.2,0.792,11.0,37.0,23.8,7.1,5.0,14.8,22.0,116.2,0.6875,-0.06753875517120843,0.05541014937313726,0.049545757336882615,0.043790061387254185,0.010737813706315814,-0.005363882733994411,0.06140107516815314,0.04954575733688425,0.04954575733688425,0.0,0.6451045262548505,0.6451045262548505,0.08708439891789453,0.16929807950858414,0.18406927093232608,-0.04954575733688425,-0.10139814246090442,0.005363882733994376,0.005363882733994411,0.13519912209196558,0.145358851161764,0.15659986551724273
7,8,Washington Wizards,2020,East,0,64,24,40,241.2,41.9,91.0,0.461,12.3,33.1,0.37200000000000005,29.6,57.9,0.511,19.5,24.8,0.787,10.1,31.6,25.3,8.1,4.3,14.1,22.6,115.6,0.375,-0.1299563994279755,0.1810353910862271,0.2796959001403497,0.0,0.05199736503356365,-0.031040743919302196,0.30132558146706373,0.12995639942797546,0.22553119814858066,-0.24220226811702,0.24220226811702,0.24220226811702,0.09533471877163814,-0.041479084557731236,-0.4341849502720307,0.07336328214275573,0.10661883663750045,-0.19510779358458646,-0.14209341441468787,0.4341849502720312,0.22553119814858066,-0.14209341441468787
8,9,Memphis Grizzlies,2020,West,0,65,32,33,240.4,42.8,91.0,0.47,10.9,31.1,0.35200000000000004,31.8,59.9,0.531,16.2,21.3,0.7609999999999999,10.4,36.3,27.0,8.0,5.6,15.3,20.8,112.6,0.49230769230769234,-0.7766386641127414,0.22160023200225273,0.1749969181595257,0.10484054674762701,-0.1220728032447906,-0.1411077695633812,-0.06670804906312196,0.24323260559888515,0.1885299287293919,0.1220728032447906,-0.13132358334802802,-0.1411077695633812,-0.04590109570647197,0.012927209394942305,0.15153833313415496,0.24323260559888515,0.04590109570647197,0.131323583348028,0.1220728032447906,0.019421216115542487,0.025952157189429486,0.019421216115542487
9,10,Phoenix Suns,2020,West,0,65,26,39,241.2,40.8,87.8,0.46399999999999997,11.2,31.7,0.353,29.6,56.1,0.527,19.8,24.0,0.826,9.8,33.3,27.2,7.8,4.0,15.1,22.1,112.6,0.4,-0.06791086151175195,0.010796973940370564,-0.09460303168522577,0.04403132374771198,-0.06173936581814127,-0.06173936581814127,-0.038337193978704276,0.06791086151175194,0.027172081338921787,0.04981873083788156,0.17023083121043722,0.08079370120420731,0.6486587446280532,-0.06791086151175194,-0.10195679788227531,0.6486587446280532,0.021675580267176482,-0.20315104550925447,0.06791086151175194,0.15746265611413054,0.021675580267176482,-0.06173936581814127
