,RK,Team,Year,Conf,playoffs_y_n,G,W%,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W_scalnorm,L_scalnorm,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm
0,1,San Antonio Spurs,1980,East,1,82,0.5,41,41,240.9,47.0,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.8009999999999999,14.1,30.7,28.4,9.4,4.1,19.4,25.6,119.4,0.026713297119773542,-0.026713297119773542,-0.5762164898212914,0.18489942269591458,0.14508893089445776,0.18489942269591386,-0.026713297119773542,0.006618146460757886,-0.019949867497232966,0.18489942269591386,0.1450889308944571,0.18489942269591386,0.18489942269591386,0.11831348323365934,0.18489942269591458,-0.08773333381678704,0.06272126754832186,0.18489942269591386,-0.026713297119773542,-0.13074700367451023,0.04773534484480526,0.07895648566742627,0.5762164898321349
1,2,Los Angeles Lakers,1980,West,1,82,0.7317073170731707,60,22,242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20.0,21.8,115.1,0.11495327714165178,-0.11495327714165181,0.05454443334519422,0.35823786187909495,-0.029677401072374925,0.35823786187909495,-0.3582378618723534,-0.11495327714165181,-0.07355632824295226,0.35823786187909495,0.01240297354048651,0.35823786187909495,-0.029677401072374925,-0.07355632824295226,0.04908780485478005,-0.09020281318414888,0.11495327714165178,0.35823786187909495,-0.016607845510836623,0.07355632824295225,0.0603668325093924,-0.3582378618723534,0.11495327714165178
2,3,Cleveland Cavaliers,1980,East,0,82,0.45121951219512196,37,45,243.0,46.5,98.1,0.474,0.4,2.3,0.193,46.0,95.8,0.48100000000000004,20.8,26.9,0.772,15.9,29.0,25.7,9.3,4.2,16.7,23.6,114.1,-0.03354057761248603,0.033540577612486,0.47633367322593323,0.11993885044406466,0.47633367322593323,-0.039460780026022504,-0.051849005170578034,-0.01649170725415376,-0.15284849139905224,0.11993885044406466,0.47633367322593323,-0.051849005170578034,-0.005470940296273702,-0.02775734166951556,0.033540577612486,0.051849005170578,-0.06526996971907635,-0.01649170725415376,-0.039460780026022504,-0.07252541692009133,-0.4763336732169693,-0.022082746963288737,0.11993885044406466
3,4,New York Knicks,1980,East,0,82,0.47560975609756095,39,43,241.2,46.4,93.6,0.496,0.5,2.3,0.22,45.9,91.2,0.503,20.7,27.7,0.747,15.1,28.1,27.6,10.7,5.6,19.7,26.4,114.0,-3.463438639569425e-17,0.014864011653810528,-0.19704449032864718,0.26572591042154836,0.21807819817814764,0.29365094862167546,-0.1072110939640038,-0.04480636152873685,-0.14086869447631817,0.26572591042154836,0.26572591042154836,0.26572591042154836,-0.04480636152873685,0.014864011653810528,-0.14086869447631817,0.014864011653810528,-0.3647071315976326,0.21807819817814764,0.3258621688778952,0.07541399242384289,0.14086869447631808,0.3258621688778952,0.26572591042154836
4,5,Boston Celtics,1980,East,1,82,0.7439024390243902,61,21,242.4,44.1,90.1,0.49,2.0,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15.0,30.0,26.8,9.9,3.8,18.8,24.1,113.5,0.5307349522855763,-0.5307349522755886,0.08080842453965852,0.043967530286965345,-0.03092746164001981,0.05777059408564849,0.170305064179498,0.1703050641794974,0.5307349522855763,-0.04396753028696517,-0.07272434474332062,0.05777059408564849,0.10897484189848437,0.07272434474332061,0.09875189494005811,-0.018375197796460255,0.024604780880852124,0.05777059408564849,0.07272434474332061,-0.17030506417949745,-1.4203646064225637e-17,0.012213370367892494,0.08943439926602964
5,6,Indiana Pacers,1980,East,0,82,0.45121951219512196,37,45,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.48100000000000004,21.4,28.5,0.7509999999999999,17.0,28.4,26.2,11.0,6.5,18.5,24.1,111.2,-0.0596266768612404,0.05962667686124036,0.05962667686124036,0.10382519004052279,0.17387210429821193,-0.09217443756042969,0.17387210429821193,0.17387210429821193,0.049345543817919155,0.07015130170054888,0.05962667686124036,-0.09217443756042969,0.029318090782298665,0.049345543817919155,-0.07015130170054741,0.846800980582911,-0.17387210429821195,0.029318090782298665,0.2717260182778319,0.11603352327878555,-0.049345543817919155,0.01948673996166109,0.11603352327878555
6,7,Phoenix Suns,1980,West,1,82,0.6707317073170732,55,27,240.9,43.5,88.2,0.493,0.8,3.4,0.243,42.7,84.8,0.504,23.2,30.1,0.773,13.1,30.0,27.8,11.1,4.2,19.9,22.6,111.1,0.10413713816676778,-0.10413713816676778,-0.6179861385399734,-0.007097892628592098,-0.08468000231203456,0.10413713816676778,0.03601184077251905,0.08468000231203479,-0.03601184077251905,0.021396023537651222,-0.12688996919102294,0.15560635582672547,0.10413713816676778,0.10413713816676778,0.06726790125104078,-0.19830269051404023,0.028649730832659443,0.14022478938695712,0.6179861385516031,-0.09409307984832217,0.08468000231203479,-0.19830269051404023,0.06726790125104078
7,8,Houston Rockets,1980,East,1,82,0.5,41,41,243.0,43.9,91.4,0.48,1.3,4.6,0.27399999999999997,42.6,86.8,0.491,21.7,28.4,0.7659999999999999,17.0,27.0,26.2,9.5,4.5,19.1,23.5,110.8,0.026031868785958718,-0.026031868785958718,0.56151780846673,0.0327212677566379,0.012921751117837341,-1.5027463663123483e-17,0.14138786366973025,0.14138786366973038,0.019440967195352835,-0.019440967195352852,-0.0327212677566379,0.026031868785958718,0.0327212677566379,0.019440967195352835,-0.00644932445067518,0.56151780846673,-0.5615178084561631,0.019440967195352835,0.026031868785958683,-0.0327212677566379,0.0327212677566379,-0.046517666010334704,0.04651766601033469
8,9,Milwaukee Bucks,1980,West,1,82,0.5975609756097561,49,33,241.5,44.9,92.1,0.488,0.6,1.9,0.32299999999999995,44.3,90.2,0.491,19.6,25.6,0.764,15.2,29.2,27.8,9.5,6.2,18.2,23.6,110.1,0.1929034264160045,-0.1929034264160046,-0.08215852049391457,0.29863293481622594,0.14681322526873683,0.14681322526873683,-0.08215852049391457,-0.1929034264160046,0.3638809800742943,0.29863293481622594,0.29863293481622594,0.08215852049391457,-0.1929034264160046,-0.2698296983733415,-0.06135714323369866,0.06135714323369861,-0.1929034264160046,0.4021210984457181,0.08215852049391448,0.1929034264160045,-0.21728621771062237,-0.08215852049391457,0.10327076283592268
9,10,Philadelphia 76ers,1980,East,1,82,0.7195121951219512,59,23,242.1,43.0,87.3,0.49200000000000005,0.3,1.5,0.21600000000000003,42.6,85.7,0.49700000000000005,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8.0,20.8,22.7,109.1,0.1980437618708027,-0.1980437618708022,0.05538240646048353,-0.06515788081822856,-0.16149576094593118,0.10777417235950251,-0.1463458183591927,-0.1463458183591927,-0.13253771340787382,-0.02723120767117735,-0.08561339378543367,0.10777417235950251,0.08561339378543362,0.08561339378543362,0.05538240646048353,-0.07521356454586248,0.1980437618708021,0.10777417235950251,0.08561339378543362,0.7865250684172244,0.25238436187165597,-0.17846729107040943,0.02723120767117733
