,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
0,1,San Antonio Spurs,1980,East,1,82,41,41,240.9,47.0,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.8009999999999999,14.1,30.7,28.4,9.4,4.1,19.4,25.6,119.4,0.5,-0.5764221940343541,0.1849654301617079,0.14514072636522435,0.1849654301617072,-0.026722833531624652,0.006620509080769102,-0.019956989424263376,0.1849654301617072,0.1451407263652237,0.1849654301617072,0.1849654301617072,0.11835572010537894,0.1849654301617079,-0.08776465384443455,0.0627436584885522,0.1849654301617072,-0.026722833531624652,-0.1307936792035454,0.04775238594258715,0.07898467243756793,0.5764221940452017,0.026722833531624652
1,2,Los Angeles Lakers,1980,West,1,82,60,22,242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20.0,21.8,115.1,0.7317073170731707,0.05490842682210469,0.3606285044599998,-0.02987544842092167,0.3606285044599998,-0.36062850445321326,-0.11572039929258218,-0.07404719453349518,0.3606285044599998,0.012485742783581564,0.3606285044599998,-0.02987544842092167,-0.07404719453349518,0.04941538440171412,-0.09080476710656317,0.11572039929258214,0.3606285044599998,-0.016718675288702748,0.07404719453349515,0.06076968082786525,-0.36062850445321326,0.11572039929258214,0.11572039929258214
2,3,Cleveland Cavaliers,1980,East,0,82,37,45,243.0,46.5,98.1,0.474,0.4,2.3,0.193,46.0,95.8,0.48100000000000004,20.8,26.9,0.772,15.9,29.0,25.7,9.3,4.2,16.7,23.6,114.1,0.45121951219512196,0.4766018301273055,0.12000637124365755,0.4766018301273055,-0.03948299487475627,-0.051878194097053916,-0.01650099142901728,-0.15293453901679763,0.12000637124365755,0.4766018301273055,-0.051878194097053916,-0.0054740202179334625,-0.02777296794821641,0.03355945962286727,0.05187819409705388,-0.06530671411447883,-0.01650099142901728,-0.03948299487475627,-0.0725662458435229,-0.4766018301183365,-0.022095178671001865,0.12000637124365755,-0.0335594596228673
3,4,New York Knicks,1980,East,0,82,39,43,241.2,46.4,93.6,0.496,0.5,2.3,0.22,45.9,91.2,0.503,20.7,27.7,0.747,15.1,28.1,27.6,10.7,5.6,19.7,26.4,114.0,0.47560975609756095,-0.19706626132705968,0.2657552698741486,0.21810229314319038,0.2936833934483519,-0.1072229394743888,-0.04481131208190423,-0.14088425873857538,0.2657552698741486,0.2657552698741486,0.2657552698741486,-0.04481131208190423,0.014865653944714367,-0.14088425873857538,0.014865653944714367,-0.36474742726065673,0.21810229314319038,0.325898172649173,0.07542232474466344,0.1408842587385753,0.325898172649173,0.2657552698741486,-3.463821307042127e-17
4,5,Boston Celtics,1980,East,1,82,61,21,242.4,44.1,90.1,0.49,2.0,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15.0,30.0,26.8,9.9,3.8,18.8,24.1,113.5,0.7439024390243902,0.09534491510535972,0.051876774810102715,-0.036490950309825444,0.0681628483671169,0.20094095360364383,0.20094095360364314,0.6262079635555937,-0.05187677481010252,-0.08580660389241788,0.0681628483671169,0.12857814155666122,0.08580660389241787,0.11651620599201737,-0.021680680992461034,0.029030893222271665,0.0681628483671169,0.08580660389241787,-0.2009409536036432,-1.6758715887543932e-17,0.014410412868593056,0.10552260180909197,0.6262079635555937
5,6,Indiana Pacers,1980,East,0,82,37,45,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.48100000000000004,21.4,28.5,0.7509999999999999,17.0,28.4,26.2,11.0,6.5,18.5,24.1,111.2,0.45121951219512196,0.05973295691404425,0.10401025060838841,0.17418201820585666,-0.09233873154102311,0.17418201820585666,0.17418201820585666,0.04943349852676213,0.0702763411030691,0.05973295691404425,-0.09233873154102311,0.029370348067132818,0.04943349852676213,-0.07027634110306763,0.8483103394415336,-0.1741820182058567,0.029370348067132818,0.2722103494042833,0.11624034427955655,-0.04943349852676213,0.019521473605411194,0.11624034427955655,-0.05973295691404429
6,7,Phoenix Suns,1980,West,1,82,55,27,240.9,43.5,88.2,0.493,0.8,3.4,0.243,42.7,84.8,0.504,23.2,30.1,0.773,13.1,30.0,27.8,11.1,4.2,19.9,22.6,111.1,0.6707317073170732,-0.6213645301386689,-0.007136695215461652,-0.08514292889007136,0.10470643254208498,0.036208709428192896,0.08514292889007159,-0.036208709428192896,0.021512990798981495,-0.12758364818985365,0.15645702086991012,0.10470643254208498,0.10470643254208498,0.06763563977829205,-0.1993867668417296,0.02880635248468972,0.1409913668566605,0.6213645301503621,-0.09460746560979891,0.08514292889007159,-0.1993867668417296,0.06763563977829205,0.10470643254208498
7,8,Houston Rockets,1980,East,1,82,41,41,243.0,43.9,91.4,0.48,1.3,4.6,0.27399999999999997,42.6,86.8,0.491,21.7,28.4,0.7659999999999999,17.0,27.0,26.2,9.5,4.5,19.1,23.5,110.8,0.5,0.561708163790647,0.03273236031225924,0.01292613160957335,-1.503255799436305e-17,0.14143579435363904,0.1414357943536392,0.019447557710474406,-0.01944755771047442,-0.03273236031225924,0.02604069362595524,0.03273236031225924,0.019447557710474406,-0.006451510780701304,0.561708163790647,-0.5617081637800765,0.019447557710474406,0.026040693625955205,-0.03273236031225924,0.03273236031225924,-0.04653343556429674,0.046533435564296725,0.02604069362595524
8,9,Milwaukee Bucks,1980,West,1,82,49,33,241.5,44.9,92.1,0.488,0.6,1.9,0.32299999999999995,44.3,90.2,0.491,19.6,25.6,0.764,15.2,29.2,27.8,9.5,6.2,18.2,23.6,110.1,0.5975609756097561,-0.08373118066845159,0.304349300210432,0.1496234914600879,0.1496234914600879,-0.08373118066845159,-0.19659594101378938,0.3708463090772274,0.304349300210432,0.304349300210432,0.08373118066845159,-0.19659594101378938,-0.274994718604816,-0.06253162805897186,0.06253162805897182,-0.19659594101378938,0.4098184113119289,0.08373118066845148,0.19659594101378927,-0.22144546229067277,-0.08373118066845159,0.10524754887016172,0.19659594101378974
9,10,Philadelphia 76ers,1980,East,1,82,59,23,242.1,43.0,87.3,0.49200000000000005,0.3,1.5,0.21600000000000003,42.6,85.7,0.49700000000000005,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8.0,20.8,22.7,109.1,0.7195121951219512,0.05650152198617955,-0.06647452992586818,-0.1647591152304302,0.10995197136219874,-0.14930303686798613,-0.14930303686798613,-0.1352159107325212,-0.027781470276866244,-0.08734338863968705,0.10995197136219874,0.087343388639687,0.087343388639687,0.05650152198617955,-0.0767334094425676,0.2020456437470438,0.10995197136219874,0.087343388639687,0.8024184264648362,0.2574843074295469,-0.18207359005650195,0.027781470276866223,0.20204564374704423
10,11,Detroit Pistons,1980,East,0,82,16,66,241.2,44.4,92.6,0.48,0.7,2.7,0.26,43.7,90.0,0.486,19.4,26.2,0.74,15.0,29.5,23.8,9.5,6.9,21.2,25.2,108.9,0.1951219512195122,-0.10056419234902929,0.08098149730875925,0.09050374431734111,-1.767610497293275e-17,0.01519925346773584,0.022867503433974198,0.0075860397037181004,0.09050374431734111,0.08098149730875925,0.0075860397037181004,-0.11129901593360392,-0.07189415174027596,-0.13561663928376527,-0.022867503433974215,-0.022867503433974215,-0.13561663928376527,0.030620073727503253,0.16630795296865147,0.6604872218713485,0.05471656201786484,0.0075860397037181004,-0.6604872218589191
11,12,Seattle SuperSonics,1980,West,1,82,56,26,241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90.0,0.474,21.1,27.5,0.768,16.8,31.1,24.9,9.1,5.2,18.2,22.7,108.5,0.6829268292682927,0.03943735247075361,-0.05933408472765942,0.18654304362946245,-0.2609329141081904,0.03943735247075361,-0.05933408472765942,0.23482916921824556,-0.05933408472765942,0.21012188919372451,-0.2887864545675886,0.01968342210278538,-0.019683422102785012,0.019683422102784922,0.4315175987976494,0.35188315108278934,-0.18654304362946256,-0.18654304362946256,0.019683422102784922,-0.21012188919372463,-0.3888624220179399,-0.019683422102785012,0.35188315108278934
12,13,New Jersey Nets,1980,East,0,82,34,48,241.5,42.1,91.5,0.461,1.0,3.6,0.285,41.1,87.9,0.46799999999999997,23.0,29.3,0.782,15.0,30.9,25.5,10.6,7.1,20.8,26.6,108.3,0.4146341463414634,-0.052853184093268765,-0.19211277643837574,0.0664348457933052,-0.3658299154413441,0.1735834413305158,0.19211277643837574,0.09444603403039409,-0.19211277643837574,-0.013094232122613285,-0.25868747777064965,0.156218143107802,0.09444603403039442,0.28706347779076774,-0.039471504200321327,0.19211277643837574,-0.0664348457933052,0.234087326698273,0.36582991544134397,0.36582991544134397,0.36582991544134413,-0.052853184093268765,-0.15621814310780185
13,14,Denver Nuggets,1980,West,0,82,30,52,241.8,42.2,91.1,0.46299999999999997,1.0,3.1,0.325,41.2,88.0,0.46799999999999997,22.8,31.0,0.737,16.0,30.8,25.4,9.1,4.9,18.7,23.4,108.3,0.36585365853658536,0.031806915468736055,-0.18939383774449206,-0.04785397850291909,-0.34802650097790705,0.21044696517609773,0.11450332521504596,0.34802650097790694,-0.16946698368436927,0.015875024658996012,-0.313624353847408,0.1145033252150471,0.34802650097790694,-0.4435203893018161,0.18939383774449203,0.18939383774449203,-0.11450332521504467,-0.15045023177971145,-0.015875024658996085,-0.04785397850291909,-0.15045023177971145,-0.06407749556677697,-0.2571766089230563
14,15,Kansas City Kings,1980,West,1,82,47,35,241.5,43.7,91.3,0.478,0.3,1.4,0.21899999999999997,43.4,89.9,0.48200000000000004,20.4,27.4,0.743,14.5,29.6,25.9,10.5,4.3,17.5,26.0,108.0,0.573170731707317,-0.08152340472564835,0.06088282980973211,-0.020197201043169327,-0.06088282980973215,-0.3271961956340029,-0.4427811206339297,-0.24095870711578465,0.19141221154099392,0.12382255196694501,-0.08152340472564835,-0.10247244162123098,-0.06088282980973215,-0.26774381494757893,-0.16816054230587363,-0.020197201043169327,-0.020197201043169327,0.29632439171339037,-0.19141221154099403,-0.4427811206339297,0.29632439171339037,-0.1456783047054427,0.1456783047054452
15,16,San Diego Clippers,1980,West,0,82,35,47,240.9,43.0,91.4,0.47,2.2,6.6,0.326,40.8,84.8,0.48200000000000004,19.5,26.4,0.736,15.8,28.1,20.6,8.1,3.5,17.6,23.1,107.6,0.4268292682926829,-0.3927623852165509,-0.03253750670376517,0.00903832027014445,-0.059801054051001085,0.39276238522394213,0.39276238522394213,0.12603169046018337,-0.08064518579213595,-0.08064518579213595,-0.018208396460529398,-0.0538185528995753,-0.03253750670376517,-0.3927623852165509,0.02765598572037201,-0.11068500749794767,-0.3927623852165509,-0.09889594548795344,-0.3927623852165509,-0.08064518579213595,-0.059801054051001085,-0.04275225558665381,-0.04275225558665381
