RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,2020,67,40,27,West,241.5,41.6,90,0.462,15.3,41.5,0.369,26.3,48.5,0.542,17.9,23.1,0.773,10.6,36.4,24.5,6.3,5,12.8,19,116.4
2,Milwaukee Bucks*,2020,65,53,12,East,240.8,43.5,91.2,0.477,13.7,38.6,0.356,29.8,52.6,0.567,17.8,24,0.742,9.5,42.2,25.9,7.4,6,14.9,19.2,118.6
3,Houston Rockets,2020,64,40,24,West,241.2,41.1,90.7,0.454,15.4,44.3,0.348,25.7,46.4,0.554,20.5,26,0.787,10.4,34.6,21.5,8.5,5.1,14.7,21.6,118.1
4,Portland Trail Blazers,2020,66,29,37,West,240.8,41.9,90.9,0.461,12.6,33.8,0.372,29.3,57.1,0.513,17.3,21.7,0.798,10.1,35.4,20.2,6.1,6.2,13,21.4,113.6
5,Atlanta Hawks,2020,67,20,47,East,243,40.6,90.6,0.449,12,36.1,0.333,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,24,7.8,5.1,16.2,23.1,111.8
6,New Orleans Pelicans,2020,64,28,36,West,242.3,42.6,92.2,0.462,14,37.6,0.372,28.6,54.6,0.525,16.9,23.2,0.729,11.2,35.8,27,7.6,5.1,16.2,21,116.2
7,Los Angeles Clippers,2020,64,44,20,West,241.2,41.6,89.7,0.464,12.2,33.2,0.366,29.5,56.5,0.522,20.8,26.2,0.792,11,37,23.8,7.1,5,14.8,22,116.2
8,Washington Wizards,2020,64,24,40,East,241.2,41.9,91,0.461,12.3,33.1,0.372,29.6,57.9,0.511,19.5,24.8,0.787,10.1,31.6,25.3,8.1,4.3,14.1,22.6,115.6
9,Memphis Grizzlies,2020,65,32,33,West,240.4,42.8,91,0.47,10.9,31.1,0.352,31.8,59.9,0.531,16.2,21.3,0.761,10.4,36.3,27,8,5.6,15.3,20.8,112.6
10,Phoenix Suns,2020,65,26,39,West,241.2,40.8,87.8,0.464,11.2,31.7,0.353,29.6,56.1,0.527,19.8,24,0.826,9.8,33.3,27.2,7.8,4,15.1,22.1,112.6
11,Miami Heat,2020,65,41,24,East,243.5,39.6,84.4,0.47,13.4,34.8,0.383,26.3,49.6,0.53,19.5,25.1,0.778,8.5,36,26,7.4,4.5,14.9,20.4,112.2
12,Minnesota Timberwolves,2020,64,19,45,West,243.1,40.4,91.6,0.441,13.3,39.7,0.336,27.1,52,0.521,19.1,25.4,0.753,10.5,34.3,23.8,8.7,5.7,15.3,21.4,113.3
13,Boston Celtics*,2020,64,43,21,East,242,41.2,89.6,0.459,12.4,34.2,0.363,28.8,55.4,0.519,18.3,22.8,0.801,10.7,35.3,22.8,8.3,5.6,13.6,21.4,113
14,Toronto Raptors*,2020,64,46,18,East,241.6,40.6,88.5,0.458,13.8,37,0.371,26.8,51.5,0.521,18.1,22.6,0.8,9.7,35.5,25.4,8.8,4.9,14.4,21.5,113
15,Los Angeles Lakers*,2020,63,49,14,West,240.8,42.9,88.6,0.485,11.2,31.4,0.355,31.8,57.1,0.556,17.3,23.7,0.73,10.6,35.5,25.9,8.6,6.8,15.1,20.6,114.3
16,Denver Nuggets,2020,65,43,22,West,242.3,41.8,88.9,0.471,10.9,30.4,0.358,31,58.5,0.529,15.9,20.5,0.775,10.8,33.5,26.5,8.1,4.6,13.7,20,110.4
17,San Antonio Spurs,2020,63,27,36,West,242.8,42,89.5,0.47,10.7,28.7,0.371,31.4,60.8,0.517,18.4,22.8,0.809,8.8,35.6,24.5,7.2,5.5,12.3,19.2,113.2
18,Philadelphia 76ers,2020,65,39,26,East,241.2,40.8,87.7,0.465,11.4,31.6,0.362,29.4,56.1,0.523,16.6,22.1,0.752,10.4,35.1,25.9,8.2,5.4,14.2,20.6,109.6
19,Indiana Pacers,2020,65,39,26,East,241.5,42.2,88.4,0.477,10,27.5,0.363,32.2,60.9,0.529,15.1,19.1,0.787,8.8,34,25.9,7.2,5.1,13.1,19.6,109.3
20,Utah Jazz,2020,64,41,23,West,240.4,40.1,84.6,0.475,13.2,34.4,0.383,27,50.2,0.537,17.6,22.8,0.772,8.8,36.3,22.2,5.9,4,14.9,20,111
21,Oklahoma City Thunder,2020,64,40,24,West,241.6,40.3,85.1,0.473,10.4,29.3,0.355,29.9,55.8,0.536,19.8,24.8,0.797,8.1,34.6,21.9,7.6,5,13.5,18.8,110.8
22,Brooklyn Nets,2020,64,30,34,East,243.1,40,90,0.444,12.9,37.9,0.34,27.1,52.2,0.519,18,24.1,0.744,10.8,37.6,24,6.5,4.6,15.5,20.7,110.8
