,RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,playoffs_y_n,W_%
0,1,Dallas Mavericks,2020,67,40,27,West,241.5,41.6,90.0,0.462,15.3,41.5,0.369,26.3,48.5,0.542,17.9,23.1,0.773,10.6,36.4,24.5,6.3,5.0,12.8,19.0,116.4,-0.035348544061114845,0.09086074788801057,0.11074905727029606,0.03534854406111479,0.37001312852029594,0.37001312852029117,0.14279971638000577,-0.27761250049275765,-0.37001312852029117,0.25679015597378335,0.026452973006047747,0.00879561600731929,0.00879561600731929,0.11074905727029606,0.25679015597378335,0.03534854406111479,-0.3018340829129777,0.008795616007319233,-0.3018340829129777,-0.22169753169865752,0.3018340829129777,0,0.5970149253731343
1,2,Milwaukee Bucks,2020,65,53,12,East,240.8,43.5,91.2,0.47700000000000004,13.7,38.6,0.35600000000000004,29.8,52.6,0.5670000000000001,17.8,24.0,0.742,9.5,42.2,25.9,7.4,6.0,14.9,19.2,118.6,-0.09766367816884079,0.46600362385903604,0.1329659672263224,0.1459459603097599,0.09766367816884078,0.11312291552275262,-0.0038747035406923175,0.06290708532603423,-0.05334436338565293,0.46600362385903604,0.0038747035406923175,0.05804308946414299,-0.11312291552275258,-0.08466837283344207,0.46600362385903604,0.06796386537368791,-0.035790327809151506,0.1329659672263224,0.02350774828602566,-0.07879760378283177,0.46600362385903604,1,0.8153846153846154
2,3,Houston Rockets,2020,64,40,24,West,241.2,41.1,90.7,0.45399999999999996,15.4,44.3,0.348,25.7,46.4,0.5539999999999999,20.5,26.0,0.787,10.4,34.6,21.5,8.5,5.1,14.7,21.6,118.1,-0.05344082147528329,0.021382416827298075,0.08023245343273004,-0.058431818871353874,0.5104464204750285,0.5104464204750285,-0.0744455837367906,-0.1785460394168741,-0.5104464204654227,0.14564694036844483,0.17854603941687403,0.17854603941687489,0.03920365375385055,0.008496419335230756,0.0,-0.1785460394168741,0.10697786965448575,0.0346493927383719,-0.004244234275196531,0.0689065382395067,0.1785460394168753,0,0.625
3,4,Portland Trail Blazers,2020,66,29,37,West,240.8,41.9,90.9,0.461,12.6,33.8,0.37200000000000005,29.3,57.1,0.513,17.3,21.7,0.7979999999999999,10.1,35.4,20.2,6.1,6.2,13.0,21.4,113.6,-0.16583980017973388,0.11540742745249935,0.14377285696701406,0.0,0.06796795687563398,0.006579519356553554,0.19209067339865563,0.03314756356106031,0.11540742745249935,-0.12437837926842489,-0.026442312816130027,-0.10682065897951644,0.14377285696701406,-0.026442312816130027,0.04676802480866657,-0.7913069557830412,-0.276786587687818,0.2767865876878179,-0.19209067339865557,0.06077449593876287,0.10682065897951643,0,0.4393939393939394
4,5,Atlanta Hawks,2020,67,20,47,East,243.0,40.6,90.6,0.449,12.0,36.1,0.33299999999999996,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,24.0,7.8,5.1,16.2,23.1,111.8,0.16093589000439945,-0.011035128285835574,0.0894956403637931,-0.08949564036379311,-0.022153689565171813,0.0894956403637931,-0.6629665404489491,-0.011035128285835574,-0.027771429756536944,0.03344362523656849,0.0758911009189949,0.039182816964310065,0.0758911009189949,-0.05091760792141622,-0.08257580896275624,-0.01657864468303561,0.022153689565171778,0.04500254504962569,0.20763205144119357,0.6629665404614252,-0.005512400913138544,0,0.29850746268656714
5,6,New Orleans Pelicans,2020,64,28,36,West,242.3,42.6,92.2,0.462,14.0,37.6,0.37200000000000005,28.6,54.6,0.525,16.9,23.2,0.7290000000000001,11.2,35.8,27.0,7.6,5.1,16.2,21.0,116.2,0.10925389202802475,0.18184837973037052,0.7491143907991165,0.025032406086460735,0.2137466629785101,0.13610687404066749,0.18184837973037052,-0.012469065780424261,-0.018732923238272914,0.03778938968438586,-0.0575339938158151,0.025032406086460735,-0.26202829950868445,0.26202829950868434,0.10112497089768371,0.23461237970996918,-0.018732923238272914,0.05085031002589742,0.23461237970996918,0.03138013219974726,0.1687949825239434,0,0.4375
6,7,Los Angeles Clippers,2020,64,44,20,West,241.2,41.6,89.7,0.46399999999999997,12.2,33.2,0.366,29.5,56.5,0.522,20.8,26.2,0.792,11.0,37.0,23.8,7.1,5.0,14.8,22.0,116.2,-0.06838244896858019,0.05610233268654081,0.05016468269381655,0.04433708661869796,0.010871950422315193,-0.005430888330722224,0.06216809709711832,0.050164682693818206,0.050164682693818206,0.0,0.6531631688235202,0.6531631688235202,0.08817225680080375,0.1714129502850185,0.18636866335936544,-0.050164682693818206,-0.10266480755774281,0.005430888330722189,0.005430888330722224,0.13688802886008622,0.14717467321544828,0,0.6875
7,8,Washington Wizards,2020,64,24,40,East,241.2,41.9,91.0,0.461,12.3,33.1,0.37200000000000005,29.6,57.9,0.511,19.5,24.8,0.787,10.1,31.6,25.3,8.1,4.3,14.1,22.6,115.6,-0.13128855120033622,0.18289114130827905,0.28256299549489977,0.0,0.05253037750768918,-0.03135893511426841,0.30441439747901744,0.1312885512003362,0.22784306417948577,-0.24468502527374394,0.24468502527374394,0.24468502527374394,0.09631197202840859,-0.041904276670260546,-0.438635675696736,0.0741153114907744,0.107711760670629,-0.1971077966176741,-0.1435499798065155,0.4386356756967365,0.22784306417948577,0,0.375
8,9,Memphis Grizzlies,2020,65,32,33,West,240.4,42.8,91.0,0.47,10.9,31.1,0.35200000000000004,31.8,59.9,0.531,16.2,21.3,0.7609999999999999,10.4,36.3,27.0,8.0,5.6,15.3,20.8,112.6,-0.7767851732570469,0.22164203581896796,0.1750299304854893,0.10486032441194154,-0.12209583169131635,-0.14113438886464555,-0.06672063321536434,0.24327849025871495,0.1885654939926352,0.12209583169131635,-0.13134835690967578,-0.14113438886464555,-0.04590975472715351,0.012929648050747412,0.15156692011101158,0.24327849025871495,0.04590975472715351,0.13134835690967575,0.12209583169131635,0.019424879834445418,0.025957052938918142,0,0.49230769230769234
9,10,Phoenix Suns,2020,65,26,39,West,241.2,40.8,87.8,0.46399999999999997,11.2,31.7,0.353,29.6,56.1,0.527,19.8,24.0,0.826,9.8,33.3,27.2,7.8,4.0,15.1,22.1,112.6,-0.06804066229501117,0.010817610634458843,-0.09478385029565253,0.04411548260217452,-0.06185737077143928,-0.06185737077143928,-0.038410469412053554,0.06804066229501116,0.027224016439759302,0.04991395139818352,0.170556200300655,0.08094812548134453,0.6498985523884966,-0.06804066229501116,-0.10215167204421526,0.6498985523884966,0.021717009682643267,-0.20353933633991148,0.06804066229501116,0.15776362087356235,0.021717009682643267,0,0.4
