,RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,playoffs_y_n,W_%
0,1,San Antonio Spurs,1980,82,41,41,East,240.9,47.0,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.8009999999999999,14.1,30.7,28.4,9.4,4.1,19.4,25.6,119.4,-0.5766281187086053,0.18503150837026403,0.1451925773472071,0.18503150837026328,-0.026732380164018438,0.006622874232891875,-0.019964118984139377,0.18503150837026328,0.14519257734720645,0.18503150837026328,0.18503150837026328,0.11839800224399313,0.18503150837026403,-0.0877960074389712,0.06276607342602217,0.18503150837026328,-0.026732380164018438,-0.13084040475655642,0.047769445303974874,0.07901288941656504,0.5766281187194566,1,0.5
1,2,Los Angeles Lakers,1980,82,60,22,West,242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,29.4,9.4,6.7,20.0,21.8,115.1,0.0552798060855306,0.36306765553585657,-0.03007751434542953,0.36306765553585657,-0.36306765552902415,-0.11650308710827698,-0.07454802098502872,0.36306765553585657,0.012570191496222974,0.36306765553585657,-0.03007751434542953,-0.07454802098502872,0.049749610860623135,-0.09141893526754244,0.11650308710827695,0.36306765553585657,-0.016831753912031212,0.0745480209850287,0.061180703335896654,-0.36306765552902415,0.11650308710827695,1,0.7317073170731707
2,3,Cleveland Cavaliers,1980,82,37,45,East,243.0,46.5,98.1,0.474,0.4,2.3,0.193,46.0,95.8,0.48100000000000004,20.8,26.9,0.772,15.9,29.0,25.7,9.3,4.2,16.7,23.6,114.1,0.47687044042418,0.1200740062063642,0.47687044042418,-0.03950524728400943,-0.05190743237571096,-0.016510291301418706,-0.15302073212251166,0.1200740062063642,0.47687044042418,-0.05190743237571096,-0.0054771053470766785,-0.027788620647585322,0.03357837355865689,0.051907432375710924,-0.06534352063673138,-0.016510291301418706,-0.03950524728400943,-0.07260714379986077,-0.4768704404152059,-0.022107631398052295,0.1200740062063642,0,0.45121951219512196
3,4,New York Knicks,1980,82,39,43,East,241.2,46.4,93.6,0.496,0.5,2.3,0.22,45.9,91.2,0.503,20.7,27.7,0.747,15.1,28.1,27.6,10.7,5.6,19.7,26.4,114.0,-0.19706626132705968,0.2657552698741486,0.21810229314319038,0.2936833934483519,-0.1072229394743888,-0.04481131208190423,-0.14088425873857538,0.2657552698741486,0.2657552698741486,0.2657552698741486,-0.04481131208190423,0.014865653944714367,-0.14088425873857538,0.014865653944714367,-0.36474742726065673,0.21810229314319038,0.325898172649173,0.07542232474466344,0.1408842587385753,0.325898172649173,0.2657552698741486,0,0.47560975609756095
4,5,Boston Celtics,1980,82,61,21,East,242.4,44.1,90.1,0.49,2.0,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15.0,30.0,26.8,9.9,3.8,18.8,24.1,113.5,0.12229099324818782,0.06653802471825165,-0.04680390719345205,0.08742681683893763,0.25773024993806165,0.25773024993806076,0.8031848762832838,-0.0665380247182514,-0.11005699470875847,0.08742681683893763,0.16491648897683364,0.11005699470875846,0.1494456473586316,-0.027808006435742508,0.03723551238270612,0.08742681683893763,0.11005699470875846,-0.2577302499380608,-2.1495011130769002e-17,0.018483038144921984,0.13534506555600745,1,0.7439024390243902
5,6,Indiana Pacers,1980,82,37,45,East,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.48100000000000004,21.4,28.5,0.7509999999999999,17.0,28.4,26.2,11.0,6.5,18.5,24.1,111.2,0.05983980730886101,0.1041963042865696,0.17449359523764596,-0.09250390718997409,0.17449359523764596,0.17449359523764596,0.049521925236365,0.0704020515179067,0.05983980730886101,-0.09250390718997409,0.029422885785822937,0.049521925236365,-0.07040205151790521,0.8498277981340089,-0.174493595237646,0.029422885785822937,0.2726972796486526,0.11644827516598127,-0.049521925236365,0.01955639364402815,0.11644827516598127,0,0.45121951219512196
6,7,Phoenix Suns,1980,82,55,27,West,240.9,43.5,88.2,0.493,0.8,3.4,0.243,42.7,84.8,0.504,23.2,30.1,0.773,13.1,30.0,27.8,11.1,4.2,19.9,22.6,111.1,-0.6247989412387507,-0.0071761412154777975,-0.0856135315812296,0.10528516679022792,0.03640884250233549,0.08561353158122983,-0.03640884250233549,0.021631897577228863,-0.12828882957095755,0.15732179139204056,0.10528516679022792,0.10528516679022792,0.06800947603824699,-0.20048881900601684,0.028965571191145668,0.1417706554897599,0.6247989412505085,-0.09513038076552623,0.08561353158122983,-0.20048881900601684,0.06800947603824699,1,0.6707317073170732
7,8,Houston Rockets,1980,82,41,41,East,243.0,43.9,91.4,0.48,1.3,4.6,0.27399999999999997,42.6,86.8,0.491,21.7,28.4,0.7659999999999999,17.0,27.0,26.2,9.5,4.5,19.1,23.5,110.8,0.5618987128380775,0.03274346415671035,0.012930516559310492,-1.5037657510074086e-17,0.14148377381632796,0.1414837738163281,0.01945415493272514,-0.019454154932725155,-0.03274346415671035,0.02604952744694044,0.03274346415671035,0.01945415493272514,-0.0064536993357428634,0.5618987128380775,-0.5618987128275034,0.01945415493272514,0.026049527446940408,-0.03274346415671035,0.03274346415671035,-0.046549221166842736,0.04654922116684272,1,0.5
8,9,Milwaukee Bucks,1980,82,49,33,West,241.5,44.9,92.1,0.488,0.6,1.9,0.32299999999999995,44.3,90.2,0.491,19.6,25.6,0.764,15.2,29.2,27.8,9.5,6.2,18.2,23.6,110.1,-0.08539775261701936,0.31040701971525264,0.1526015733612799,0.1526015733612799,-0.08539775261701936,-0.20050895499353036,0.37822757434787074,0.31040701971525264,0.31040701971525264,0.08539775261701936,-0.20050895499353036,-0.2804681692401987,-0.06377624752318327,0.06377624752318321,-0.20050895499353036,0.4179753710352547,0.08539775261701926,0.20050895499353022,-0.22585307714388494,-0.08539775261701936,0.10734237914966137,1,0.5975609756097561
9,10,Philadelphia 76ers,1980,82,59,23,East,242.1,43.0,87.3,0.49200000000000005,0.3,1.5,0.21600000000000003,42.6,85.7,0.49700000000000005,22.9,29.6,0.772,14.5,32.1,27.1,9.7,8.0,20.8,22.7,109.1,0.05769134208535089,-0.06787436357651057,-0.16822864489851247,0.11226736147686249,-0.1524470894153901,-0.1524470894153901,-0.13806331382294884,-0.028366497910777277,-0.08918268279814624,0.11226736147686249,0.08918268279814619,0.08918268279814619,0.05769134208535089,-0.0783492765842535,0.20630036042421665,0.11226736147686249,0.08918268279814619,0.8193159106067118,0.2629064623278844,-0.18590773132141336,0.028366497910777253,1,0.7195121951219512
